description,go_BioProc,go_CellComp,go_MolFunc,proteinname
Conserved protein involved in exocytic transport from the Golgi; mutation is synthetically lethal with apl2 vps1 double mutation; member of a protein superfamily with orthologs in diverse organisms,post-Golgi vesicle-mediated transport,cytoplasm:cellular bud tip:cellular bud neck,molecular_function unknown,Avl9p
Vacuolar aminopeptidase yscI; zinc metalloproteinase that belongs to the peptidase family M18; often used as a marker protein in studies of autophagy and cytosol to vacuole targeting (CVT) pathway,proteolysis:peptide metabolic process:transport:protein catabolic process in the vacuole:protein transport,fungal-type vacuole:extracellular region:cytoplasm:vacuole,aminopeptidase activity:peptidase activity:metallopeptidase activity:zinc ion binding:hydrolase activity:metal ion binding:metalloaminopeptidase activity,Ape1p
"Protein involved in transcription of rDNA by RNA polymerase I; transcription factor, member of UAF (upstream activation factor) family along with Rrn9p and Rrn10p","chromatin organization:transcription, DNA-templated:regulation of transcription, DNA-templated:transcription of nuclear large rRNA transcript from RNA polymerase I promoter:positive regulation of transcription from RNA polymerase I promoter",RNA polymerase I upstream activating factor complex:nucleus:nucleolus,"rDNA binding:transcription factor activity, RNA polymerase I upstream control element sequence-specific binding",Rrn5p
"Mitochondrial protein, required for respiratory growth under some conditions and for stability of the mitochondrial genome",aerobic respiration,mitochondrion,molecular_function unknown,Pet20p
"Protein of unknown function; interacts with Csm1p, Lrs4p; required for rDNA repeat stability; null mutant causes increase in unequal sister-chromatid exchange; GFP-fusion protein localizes to the nuclear periphery, possible Cdc28p substrate",regulation of exit from mitosis:maintenance of rDNA,nucleus:membrane:integral component of membrane:nuclear membrane:nuclear periphery,molecular_function unknown,Nur1p
"Essential protein with dual roles in spliceosome assembly and exocytosis; the exocyst complex (Sec3p, Sec5p, Sec6p, Sec8p, Sec10p, Sec15p, Exo70p, and Exo84p) mediates polarized targeting of secretory vesicles to active sites of exocytosis",spliceosomal complex assembly:exocyst assembly:transport:exocytosis:Golgi to plasma membrane transport:protein transport:exocyst localization:vesicle tethering involved in exocytosis,incipient cellular bud site:exocyst:prospore membrane:cellular bud:cellular bud tip:cellular bud neck:transport vesicle:cytoplasmic vesicle:mating projection tip,molecular_function unknown,Exo84p
"JmjC domain-containing histone demethylase and transcription factor; involved in expression of genes during nutrient limitation; negatively regulates DPP1 and PHR1; activity is modulated by limited proteasome-mediated proteolysis; has a JmjC and a JmjN domain in the N-terminal region that interact, promoting Gis1p stability and proper transcriptional activity; contains transactivating domains TAD1 and TAD2 downstream of the Jmj domains and a C-terminal DNA binding domain","negative regulation of transcription from RNA polymerase II promoter:chronological cell aging:transcription, DNA-templated:regulation of transcription, DNA-templated:transcription from RNA polymerase II promoter:histone demethylation:positive regulation of transcription from RNA polymerase II promoter:maintenance of stationary phase in response to starvation:histone H3-K36 demethylation:regulation of phospholipid biosynthetic process",intracellular:nucleus:mitochondrion:cytosol,"RNA polymerase II core promoter proximal region sequence-specific DNA binding:transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding:transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding:nucleic acid binding:DNA binding:zinc ion binding:sequence-specific DNA binding:metal ion binding:histone demethylase activity (H3-K36 specific)",Gis1p
Dubious open reading frame unlikely to encode a functional protein; deletion confers sensitivity to citric acid; predicted protein would include a thiol-disulfide oxidoreductase active site,biological_process unknown,cellular_component unknown,molecular_function unknown,YKL102C
"Non-essential kinetochore protein, subunit of the Ctf19 central kinetochore complex (Ctf19p-Mcm21p-Okp1p-Mcm22p-Mcm16p-Ctf3p-Chl4p-Mcm19p-Nkp1p-Nkp2p-Ame1p-Mtw1p)",cell cycle:chromosome segregation:biological_process unknown:cell division:meiotic cell cycle,"chromosome, centromeric region:kinetochore:condensed chromosome kinetochore:nucleus:chromosome:spindle pole body:Mis6-Sim4 complex",molecular_function unknown,Nkp2p
"Elongin C, conserved among eukaryotes; forms a complex with Cul3p that polyubiquitylates monoubiquitylated RNA polymerase II to trigger its proteolysis; plays a role in global genomic repair",ubiquitin-dependent protein catabolic process:positive regulation of transcription elongation from RNA polymerase II promoter:protein ubiquitination involved in ubiquitin-dependent protein catabolic process:global genome nucleotide-excision repair,nucleotide-excision repair factor 4 complex:nucleus:cytoplasm:Cul3-RING ubiquitin ligase complex:elongin complex,ubiquitin-protein transferase activity,Elc1p
"Vesicle membrane protein (v-SNARE) with acyltransferase activity; involved in trafficking to and within the Golgi, endocytic trafficking to the vacuole, and vacuolar fusion; membrane localization due to prenylation at the carboxy-terminus","transport:exocytosis:ER to Golgi vesicle-mediated transport:intra-Golgi vesicle-mediated transport:vesicle fusion:vesicle-mediated transport:vacuole fusion, non-autophagic",fungal-type vacuole:mitochondrion:endosome:Golgi apparatus:cytosol:plasma membrane:membrane:integral component of membrane:SNARE complex,SNARE binding:SNAP receptor activity:palmitoyltransferase activity:transferase activity,Ykt6p
"Protein involved in rRNA processing; required for maturation of the 35S primary transcript of pre-rRNA and for cleavage leading to mature 18S rRNA; homologous to eIF-4a, which is a DEAD box RNA-dependent ATPase with helicase activity","maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA):rRNA processing:RNA secondary structure unwinding:ribosome biogenesis",nucleus:nucleolus,nucleotide binding:nucleic acid binding:RNA binding:ATP-dependent RNA helicase activity:helicase activity:ATP binding:ATP-dependent helicase activity:RNA-dependent ATPase activity:hydrolase activity,Rrp3p
"Phosphoinositide binding protein required for vesicle formation in autophagy and the cytoplasm-to-vacuole targeting (Cvt) pathway; binds both phosphatidylinositol (3,5)-bisphosphate and phosphatidylinositol 3-phosphate; WD-40 repeat protein",autophagosome assembly:mitophagy:protein lipidation:vacuolar protein processing:transport:autophagy:protein transport:macroautophagy:pexophagy:CVT pathway:protein localization to pre-autophagosomal structure:piecemeal microautophagy of nucleus:late nucleophagy:late endosome to vacuole transport,fungal-type vacuole membrane:pre-autophagosomal structure:endosome:vacuole:vacuolar membrane:cytosol:endosome membrane:membrane:pre-autophagosomal structure membrane:PAS complex:cell periphery,"phosphatidylinositol-3-phosphate binding:phosphatidylinositol binding:ubiquitin binding:phosphatidylinositol-3,5-bisphosphate binding",Atg18p
"Nicotinamide riboside kinase, catalyzes the phosphorylation of nicotinamide riboside and nicotinic acid riboside in salvage pathways for NAD+ biosynthesis",NAD biosynthetic process:phosphorylation:nicotinamide nucleotide biosynthetic process:pyridine nucleotide biosynthetic process:NAD biosynthesis via nicotinamide riboside salvage pathway:nicotinamide riboside metabolic process,fungal-type vacuole:cytoplasm,nucleotide binding:ATP binding:kinase activity:transferase activity:nicotinic acid riboside kinase activity:metal ion binding:ribosylnicotinamide kinase activity,Nrk1p
"Glycosylphosphatidylinositol-alpha 1,4 mannosyltransferase I, involved in GPI anchor biosynthesis, requires Pbn1p for function; homolog of mammalian PIG-M",GPI anchor biosynthetic process:fungal-type cell wall organization:cell wall organization:mannosylation,endoplasmic reticulum:endoplasmic reticulum membrane:membrane:integral component of membrane:glycosylphosphatidylinositol-mannosyltransferase I complex,"mannosyltransferase activity:transferase activity:transferase activity, transferring glycosyl groups:transferase activity, transferring hexosyl groups",Gpi14p
"Protein of unknown function, predicted by computational methods to be involved in fructose-1,6-bisphosphatase (Fbp1p) degradation; interacts with components of the GID complex; YDL176W is not an essential gene",biological_process unknown,cellular_component unknown,molecular_function unknown,YDL176W
"Metallothionein, binds copper and mediates resistance to high concentrations of copper and cadmium; locus is variably amplified in different strains, with two copies, CUP1-1 and CUP1-2, in the genomic sequence reference strain S288C",detoxification of copper ion:removal of superoxide radicals:response to copper ion:detoxification of cadmium ion,cytosol,superoxide dismutase activity:copper ion binding:antioxidant activity:cadmium ion binding:metal ion binding,Cup1-1p
"Golgi-localized RING-finger ubiquitin ligase (E3), involved in ubiquitinating and sorting membrane proteins that contain polar transmembrane domains to multivesicular bodies for delivery to the vacuole for quality control purposes",protein ubiquitination:ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,Golgi membrane:fungal-type vacuole:Golgi apparatus:membrane:integral component of membrane:Dsc E3 ubiquitin ligase complex,ubiquitin-protein transferase activity:zinc ion binding:ligase activity:metal ion binding,Tul1p
Subunit of the Nup84p subcomplex of the nuclear pore complex (NPC); required for assembly of the subcomplex and also for formation of the nucleocytoplasmic Gsp1p concentration gradient that plays a role in nuclear trafficking; the Nup84 subcomplex has a role in transcription elongation,"ribosomal large subunit export from nucleus:mRNA export from nucleus:protein import into nucleus:transport:protein transport:nuclear pore distribution:positive regulation of transcription, DNA-templated:mRNA transport",nucleus:nuclear pore:membrane:integral component of membrane:nuclear pore outer ring:nuclear membrane,structural constituent of nuclear pore,Nup85p
Putative protein of unknown function; likely member of BLOC complex involved in endosomal cargo sorting; green fluorescent protein (GFP)-fusion protein localizes to the endosome,transport:endosome organization:biological_process unknown:regulation of protein localization,endosome:BLOC-1 complex,molecular_function unknown,Bli1p
"ER membrane protein involved in the second step of glycosylphosphatidylinositol (GPI) anchor assembly, the de-N-acetylation of the N-acetylglucosaminylphosphatidylinositol intermediate; functional homolog of human PIG-Lp",GPI anchor biosynthetic process,cytoplasm:endoplasmic reticulum:endoplasmic reticulum membrane:membrane:integral component of membrane,N-acetylglucosaminylphosphatidylinositol deacetylase activity:hydrolase activity,Gpi12p
"Member of the ChAPs family of proteins (Chs5p-Arf1p-binding proteins: Bch1p, Bch2p, Bud7p, Chs6p), that forms the exomer complex with Chs5p to mediate export of specific cargo proteins, including Chs3p, from the Golgi to the plasma membrane",cellular bud site selection:transport:Golgi to plasma membrane transport:protein transport:fungal-type cell wall chitin biosynthetic process,mitochondrion:Golgi apparatus:membrane:clathrin-coated vesicle:trans-Golgi network transport vesicle:exomer complex,molecular_function unknown,Bch2p
"Subunit of TORC1, a rapamycin-sensitive complex involved in growth control that contains Tor1p or Tor2p, Lst8p and Tco89p; contains four HEAT repeats and seven WD-40 repeats; may act as a scaffold protein to couple TOR and its effectors",regulation of cell growth:regulation of cell size:cellular response to starvation:regulation of autophagy:positive regulation of cell growth:TOR signaling:cellular response to amino acid stimulus:positive regulation of protein serine/threonine kinase activity,fungal-type vacuole membrane:mitochondrion:vacuole:vacuolar membrane:plasma membrane:cytoplasmic stress granule:membrane:TORC1 complex,"protein binding, bridging:ubiquitin binding",Kog1p
Transcription factor involved in regulating gluconeogenesis and glyoxylate cycle genes; member of the zinc cluster family of proteins; confers resistance to ketoconazole,"transcription, DNA-templated:regulation of transcription, DNA-templated:transcription from RNA polymerase II promoter:signal transduction:carbon utilization:positive regulation of gluconeogenesis by positive regulation of transcription from RNA polymerase II promoter:positive regulation of transcription from RNA polymerase II promoter:positive regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source:negative regulation of transcription from RNA polymerase II promoter by a nonfermentable carbon source:cellular response to xenobiotic stimulus:cell wall organization",nucleus:cytoplasm,"RNA polymerase II core promoter proximal region sequence-specific DNA binding:RNA polymerase II transcription factor activity, sequence-specific DNA binding:transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding:DNA binding:signal transducer activity:zinc ion binding:sequence-specific DNA binding:metal ion binding",Rds2p
"GTPase-activating protein for yeast Rab family members; Ypt1p is the preferred in vitro substrate but also acts on Sec4p, Ypt31p and Ypt32p; involved in the regulation of ER to Golgi vesicle transport",ER to Golgi vesicle-mediated transport:vesicle-mediated transport:positive regulation of GTPase activity,intracellular:endoplasmic reticulum membrane,GTPase activator activity:Rab GTPase binding,Gyp8p
"P subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of 5,10-methylene-THF in the cytoplasm",glycine metabolic process:glycine catabolic process:one-carbon metabolic process:glycine decarboxylation via glycine cleavage system:oxidation-reduction process,mitochondrion:cytosol:glycine cleavage complex,catalytic activity:glycine dehydrogenase (decarboxylating) activity:oxidoreductase activity:glycine binding:pyridoxal phosphate binding,Gcv2p
Integral inner mitochondrial membrane protein with a role in maintaining mitochondrial nucleoid structure and number; mutants exhibit an increased rate of mitochondrial DNA escape; shows some sequence similarity to exonucleases,mitochondrial genome maintenance:mRNA processing,mitochondrion:mitochondrial inner membrane:membrane:integral component of membrane:integral component of mitochondrial inner membrane,nucleotide binding:molecular_function unknown:nucleic acid binding:RNA binding,Yme2p
73 kDa subunit of the SWI/SNF chromatin remodeling complex involved in transcriptional regulation; homolog of Rsc6p subunit of the RSC chromatin remodeling complex; deletion mutants are temperature-sensitive,"transcription, DNA-templated:regulation of transcription, DNA-templated:positive regulation of transcription from RNA polymerase II promoter:positive regulation of transcription from RNA polymerase II promoter in response to amino acid starvation",nucleus:cytosol:SWI/SNF complex,molecular_function unknown:DNA translocase activity,Snf12p
"Serine hydrolase; exhibits active esterase plus weak triacylglycerol lipase activities; proposed role in lipid homeostasis, regulating phospholipid and non-polar lipid levels and required for mobilization of LD-stored lipids; localizes to the lipid droplet (LD) surface; contains a classical serine containing catalytic triad (GxSxG motif)",lipid metabolic process:lipid catabolic process:lipid homeostasis,endoplasmic reticulum:lipid particle,"triglyceride lipase activity:hydrolase activity:hydrolase activity, acting on ester bonds:serine hydrolase activity:retinyl-palmitate esterase activity",Ldh1p
"Substrate of the Hub1p ubiquitin-like protein that localizes to the shmoo tip (mating projection); mutants are defective for mating projection formation, thereby implicating Hbt1p in polarized cell morphogenesis",conjugation:cell morphogenesis involved in conjugation with cellular fusion:regulation of cell shape,cytoplasm:plasma membrane:mating projection,molecular_function unknown,Hbt1p
"O-methyltransferase, catalyzes two different O-methylation steps in ubiquinone (Coenzyme Q) biosynthesis; component of a mitochondrial ubiquinone-synthesizing complex; phosphoprotein",ubiquinone biosynthetic process:methylation,mitochondrion:mitochondrial inner membrane:membrane:extrinsic component of membrane,"hexaprenyldihydroxybenzoate methyltransferase activity:methyltransferase activity:2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity:3-demethylubiquinone-9 3-O-methyltransferase activity:transferase activity:3-demethylubiquinone-6 3-O-methyltransferase activity",Coq3p
Putative protein of unknown function; YBR259W is not an essential gene,biological_process unknown,cellular_component unknown,molecular_function unknown,YBR259W
"Plasma membrane ATP binding cassette (ABC) transporter, multidrug transporter and general stress response factor implicated in cellular detoxification; regulated by Pdr1p, Pdr3p and Pdr8p; promoter contains a PDR responsive element",transport:drug transmembrane transport:cellular response to drug:response to drug:xenobiotic transport:drug export:transmembrane transport,plasma membrane:membrane:integral component of membrane:cell periphery,"nucleotide binding:ATP binding:xenobiotic-transporting ATPase activity:ATPase activity:nucleoside-triphosphatase activity:ATPase activity, coupled to transmembrane movement of substances",Pdr15p
"Component of the cytosolic iron-sulfur (FeS) protein assembly machinery, required for maturation of cytosolic and nuclear FeS proteins and for normal resistance to oxidative stress; homologous to human Narf",iron-sulfur cluster assembly:oxidation-reduction process,nucleus:cytoplasm:cytosol:membrane,"ferredoxin hydrogenase activity:metal ion binding:iron-sulfur cluster binding:4 iron, 4 sulfur cluster binding",Nar1p
Cysteine desulfurase involved in iron-sulfur cluster (Fe/S) biogenesis and in thio-modification of mitochondrial and cytoplasmic tRNAs; essential protein located predominantly in mitochondria,tRNA wobble uridine modification:cysteine metabolic process:cellular iron ion homeostasis:tRNA processing:metabolic process:iron-sulfur cluster assembly:tRNA thio-modification:[2Fe-2S] cluster assembly:mitochondrial tRNA thio-modification,nucleus:mitochondrion:L-cysteine desulfurase complex,catalytic activity:transferase activity:pyridoxal phosphate binding:cysteine desulfurase activity:metal ion binding:iron-sulfur cluster binding,Nfs1p
"Plasma membrane riboflavin transporter; facilitates the uptake of vitamin B2; required for FAD-dependent processes; sequence similarity to mammalian monocarboxylate permeases, however mutants are not deficient in monocarboxylate transport",transport:riboflavin transport:ion transmembrane transport:transmembrane transport,plasma membrane:membrane:integral component of membrane:integral component of fungal-type vacuolar membrane,monocarboxylic acid transmembrane transporter activity:riboflavin transporter activity,Mch5p
"Peroxisomal protein that binds AMP and mRNA, localizes to both the peroxisomal peripheral membrane and matrix, expression is highly inducible by oleic acid, similar to E. coli long chain acyl-CoA synthetase",biological_process unknown:metabolic process:oxalate catabolic process,cytoplasm:peroxisome:peroxisomal membrane:peroxisomal matrix:membrane:integral component of membrane,mRNA binding:catalytic activity:AMP binding:ligase activity:oxalate-CoA ligase activity,Pcs60p
"Protein of unknown function, mediates sensitivity to salt stress; interacts physically with the splicing factor Msl1p and also displays genetic interaction with MSL1",response to stress:response to salt stress,cytoplasm,molecular_function unknown,Nst1p
"Gamma subunit of the translation initiation factor eIF2, involved in the identification of the start codon; binds GTP when forming the ternary complex with GTP and tRNAi-Met",formation of translation preinitiation complex:translation:translational initiation:positive regulation of translational fidelity,cytosol:ribosome:eukaryotic translation initiation factor 2 complex:eukaryotic 43S preinitiation complex:eukaryotic 48S preinitiation complex:multi-eIF complex,tRNA binding:nucleotide binding:translation initiation factor activity:GTPase activity:protein binding:GTP binding:translation initiation factor binding,Gcd11p
"NADP(+)-dependent dehydrogenase; acts on serine, L-allo-threonine, and other 3-hydroxy acids; green fluorescent protein fusion protein localizes to the cytoplasm and nucleus; may interact with ribosomes, based on co-purification experiments",biological_process unknown:metabolic process:oxidation-reduction process:organic substance catabolic process,nucleus:cytoplasm:ribosome:integral component of membrane,"nucleotide binding:carbonyl reductase (NADPH) activity:oxidoreductase activity:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor:serine 3-dehydrogenase activity",YMR226C
Heat shock protein regulator that binds to Hsp90p and may stimulate ATPase activity; originally identified as a high-copy number suppressor of a HSP90 loss-of-function mutation; GFP-fusion protein localizes to the cytoplasm and nucleus,protein folding:response to stress:positive regulation of ATPase activity:cellular response to heat,nucleus:cytoplasm,ATPase activator activity:chaperone binding,Hch1p
"Putative protein of unknown function, has some homology to Ugp1p, which encodes UDP-glucose pyrophosphorylase",glycogen metabolic process:UDP-glucose metabolic process:biological_process unknown:metabolic process,cellular_component unknown:cytoplasm,molecular_function unknown:UTP:glucose-1-phosphate uridylyltransferase activity:transferase activity:nucleotidyltransferase activity:uridylyltransferase activity,YHL012W
"S-adenosylmethionine-homocysteine methyltransferase, functions along with Mht1p in the conversion of S-adenosylmethionine (AdoMet) to methionine to control the methionine/AdoMet ratio",cellular amino acid biosynthetic process:methionine biosynthetic process:L-methionine salvage from S-adenosylmethionine:methylation:S-adenosylhomocysteine metabolic process:homocysteine metabolic process,nucleus:cytoplasm,methyltransferase activity:S-adenosylmethionine-homocysteine S-methyltransferase activity:transferase activity:metal ion binding,Sam4p
Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the mitochondrion,biological_process unknown,mitochondrion,molecular_function unknown:hydrolase activity,YGR015C
Mitogen-activated protein kinase (MAPK) involved in signal transduction pathways that control filamentous growth and pheromone response; the KSS1 gene is nonfunctional in S288C strains and functional in W303 strains,MAPK cascade:pheromone-dependent signal transduction involved in conjugation with cellular fusion:signal transduction involved in filamentous growth:invasive growth in response to glucose limitation:protein phosphorylation:cell cycle:positive regulation of barrier septum assembly:phosphorylation:negative regulation of sequence-specific DNA binding transcription factor activity,nucleus:cytoplasm:cellular bud neck:periplasmic space,"nucleotide binding:protein kinase activity:protein serine/threonine kinase activity:MAP kinase activity:ATP binding:transcription factor binding:kinase activity:transferase activity:transferase activity, transferring phosphorus-containing groups",Kss1p
"Dubious open reading frame, unlikely to encode a protein; not conserved in closely related Saccharomyces species; 26% of ORF overlaps the dubious ORF YDR524C-A; insertion mutation in a cdc34-2 mutant background causes altered bud morphology",biological_process unknown,cellular_component unknown,molecular_function unknown,Api2p
"E1 alpha subunit of the pyruvate dehydrogenase (PDH) complex, catalyzes the direct oxidative decarboxylation of pyruvate to acetyl-CoA; phosphorylated; regulated by glucose",acetyl-CoA biosynthetic process from pyruvate:glycolytic process:pseudohyphal growth:metabolic process:oxidation-reduction process,mitochondrion:mitochondrial matrix:mitochondrial pyruvate dehydrogenase complex:mitochondrial nucleoid:intracellular membrane-bounded organelle,"pyruvate dehydrogenase (acetyl-transferring) activity:oxidoreductase activity:oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor",Pda1p
"Palmitoyltransferase with autoacylation activity, required for palmitoylation of amino acid permeases containing a C-terminal Phe-Trp-Cys site; required for modification of Chs3p; member of the DHHC family of putative palmitoyltransferases",protein palmitoylation,endoplasmic reticulum:endoplasmic reticulum membrane:membrane:integral component of membrane,"zinc ion binding:palmitoyltransferase activity:transferase activity:transferase activity, transferring acyl groups:protein-cysteine S-palmitoyltransferase activity:metal ion binding",Pfa4p
RNA polymerase II subunit B32; forms two subunit dissociable complex with Rpb7p; involved in recruitment of 3'-end processing factors to transcribing RNA polymerase II complex and in export of mRNA to cytoplasm under stress conditions; also involved in translation initiation,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay:transcription, RNA-templated:DNA repair:transcription, DNA-templated:transcription from RNA polymerase II promoter:transcription initiation from RNA polymerase II promoter:mRNA processing:cellular response to DNA damage stimulus:mRNA export from nucleus in response to heat stress:recruitment of 3'-end processing factors to RNA polymerase II holoenzyme complex:cellular metabolic process:positive regulation of translational initiation","P-body:nucleus:DNA-directed RNA polymerase II, core complex:cytoplasm",nucleotide binding:single-stranded DNA binding:single-stranded RNA binding:catalytic activity:DNA-directed 5'-3' RNA polymerase activity:RNA-directed 5'-3' RNA polymerase activity:translation initiation factor binding,Rpb4p
"Subunit of the SEA (Seh1-associated) complex, a coatomer-related complex that associates dynamically with the vacuole; null mutation suppresses cdc13-1 temperature sensitivity; has N-terminal WD-40 repeats and a C-terminal RING motif",transport:biological_process unknown:protein transport:protein import into peroxisome matrix:positive regulation of TORC1 signaling,fungal-type vacuole:vacuole:vacuolar membrane:peroxisome:cytosol:ribosome:membrane:Seh1-associated complex:extrinsic component of fungal-type vacuolar membrane,molecular_function unknown:peroxisome matrix targeting signal-2 binding:zinc ion binding:metal ion binding,Rtc1p
N-acetylglucosaminyltransferase capable of modification of N-linked glycans in the Golgi apparatus,protein N-linked glycosylation,Golgi membrane:vacuole:vacuolar membrane:Golgi apparatus:Golgi medial cisterna:membrane:integral component of membrane,acetylglucosaminyltransferase activity:transferase activity,Gnt1p
"Subunit of cohesin loading factor (Scc2p-Scc4p), a complex required for the loading of cohesin complexes onto chromosomes; involved in establishing sister chromatid cohesion during double-strand break repair via phosphorylated histone H2AX",double-strand break repair:cell cycle:chromosome segregation:mitotic sister chromatid cohesion:mitotic chromosome condensation:cell division:rDNA condensation:establishment of protein localization to chromatin,nuclear chromatin:nucleus:SMC loading complex,molecular_function unknown,Scc4p
"Possible chaperone and cysteine protease with similarity to E. coli Hsp31; member of the DJ-1/ThiJ/PfpI superfamily, which includes human DJ-1 involved in Parkinson's disease; exists as a dimer and contains a putative metal-binding site",proteolysis:response to stress:biological_process unknown:methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione:lactate biosynthetic process:cellular response to nutrient levels:cellular response to oxidative stress,P-body:cellular_component unknown:cytoplasm:cytoplasmic stress granule,peptidase activity:cysteine-type peptidase activity:hydrolase activity:lyase activity:glyoxalase III activity:unfolded protein binding,Hsp31p
"Bifunctional enzyme exhibiting both indole-3-glycerol-phosphate synthase and anthranilate synthase activities, forms multifunctional hetero-oligomeric anthranilate synthase:indole-3-glycerol phosphate synthase enzyme complex with Trp2p",tryptophan biosynthetic process:glutamine metabolic process:tryptophan metabolic process:metabolic process:cellular amino acid biosynthetic process:aromatic amino acid family biosynthetic process,cytoplasm:cytosol:anthranilate synthase complex,catalytic activity:anthranilate synthase activity:indole-3-glycerol-phosphate synthase activity:phosphoribosylanthranilate isomerase activity:transferase activity:lyase activity,Trp3p
Alpha 4 subunit of the 20S proteasome; may replace alpha 3 subunit (Pre9p) under stress conditions to create a more active proteasomal isoform; GFP-fusion protein relocates from cytosol to the mitochondrial surface upon oxidative stress,proteolysis:ubiquitin-dependent protein catabolic process:proteasomal ubiquitin-independent protein catabolic process:proteasome-mediated ubiquitin-dependent protein catabolic process:proteolysis involved in cellular protein catabolic process,"proteasome complex:nucleus:cytoplasm:mitochondrion:proteasome core complex:proteasome core complex, alpha-subunit complex:proteasome storage granule:nuclear outer membrane-endoplasmic reticulum membrane network",molecular_function unknown:endopeptidase activity:threonine-type endopeptidase activity:peptidase activity:hydrolase activity,Pre6p
"Putative protein of unknown function; proposed to be involved in responding to environmental stresses; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",biological_process unknown,mitochondrion,molecular_function unknown,Fmp40p
"Silenced copy of ALPHA1 at HML, encoding a transcriptional coactivator involved in the regulation of mating-type alpha-specific gene expression","transcription, DNA-templated:regulation of transcription, DNA-templated:regulation of transcription from RNA polymerase II promoter:mating type determination:regulation of mating-type specific transcription, DNA-templated:positive regulation of mating-type specific transcription, DNA-templated",nucleus,"mating pheromone activity:DNA binding:transcription coactivator activity:DNA binding, bending:sequence-specific DNA binding",Hmlalpha1p
Essential nucleolar protein required for the synthesis of 18S rRNA and for the assembly of 40S ribosomal subunit,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA):rRNA processing:ribosome biogenesis:ribosomal small subunit biogenesis",nucleus:nucleolus:intracellular ribonucleoprotein complex:90S preribosome:small-subunit processome,molecular_function unknown:nucleic acid binding:RNA binding,Krr1p
"Nuclear SAM-dependent mono- and asymmetric arginine dimethylating methyltransferase that modifies hnRNPs, including Npl3p and Hrp1p, affecting their activity and nuclear export; methylates U1 snRNP protein Snp1p and ribosomal protein Rps2p","mRNA export from nucleus:protein methylation:peptidyl-arginine methylation:peptidyl-arginine methylation, to asymmetrical-dimethyl arginine:methylation:positive regulation of transcription elongation from RNA polymerase II promoter:histone arginine methylation:peptidyl-arginine omega-N-methylation:negative regulation of DNA-templated transcription, termination",nucleus:cytosol,methyltransferase activity:histone-arginine N-methyltransferase activity:transferase activity:protein-arginine omega-N monomethyltransferase activity:protein-arginine omega-N asymmetric methyltransferase activity,Hmt1p
Putative protein of unknown function; localizes to the cell wall; predicted to be a GPI-attached protein; upregulated by Mcm1p-Alpha1p transcription factor; partially overlaps the dubious ORF YLR041W; YLR040C is not essential,response to pheromone involved in conjugation with cellular fusion:response to stress:biological_process unknown,extracellular region:cell wall:fungal-type cell wall:membrane:anchored component of membrane:cell periphery,molecular_function unknown,Afb1p
"RNA polymerase I subunit A12.2; contains two zinc binding domains, and the N terminal domain is responsible for anchoring to the RNA pol I complex","negative regulation of transcription from RNA polymerase II promoter:transcription, DNA-templated:transcription from RNA polymerase I promoter:termination of RNA polymerase I transcription:mRNA cleavage:ribosome biogenesis:transcription of nuclear large rRNA transcript from RNA polymerase I promoter",nucleus:nucleolus:DNA-directed RNA polymerase I complex,RNA polymerase I activity:molecular_function unknown:nucleic acid binding:DNA binding:DNA-directed 5'-3' RNA polymerase activity:zinc ion binding:metal ion binding:RNA polymerase II sequence-specific DNA binding transcription factor binding,Rpa12p
"Essential protein that forms a dimer with Ntr2p; also forms a trimer, with Ntr2p and Prp43p, that is involved in spliceosome disassembly; found also in a multisubunit complex with the splicing factor Clf1p; suppressor of prp38-1 mutation","generation of catalytic spliceosome for first transesterification step:spliceosomal complex disassembly:mRNA splicing, via spliceosome:mRNA processing:RNA splicing",nucleus:spliceosomal complex:cytoplasm:mitochondrion:U2-type post-mRNA release spliceosomal complex,nucleic acid binding:RNA binding:ATP-dependent RNA helicase activity,Spp382p
